title,url,date_published,snippet,body
US stresses allied cooperation in face of N. Korea threats,https://apnews.com/fb1ab82da5b942e3e457162fbcc066bd,2022-06-08T05:05:56Z,"U.S. Deputy Secretary of State Wendy Sherman has met with her counterparts from South Korea and Japan, emphasizing the U.S. commitment to defend its allies and trilateral security cooperation to confront an accelerating nuclear threat from North Korea. The la…","By KIM TONG-HYUNG - Associated Press
SEOUL, South Korea (AP) U.S. Deputy Secretary of State Wendy Sherman met with her counterparts from South Korea and Japan on Wednesday, emphasizing the U.S. comm… [+4881 chars]"
North Korea's Kim Jong Un congratulates Queen Elizabeth II,https://apnews.com/c3ddfa1e3610160de6e62e7bcb964123,2022-06-02T15:08:57Z,"North Korea says its leader, Kim Jong Un, has sent a letter congratulating Queen Elizabeth II as Britain began a four-day celebration marking her 70 years on the throne. North Korea’s Foreign Ministry announced the letter on its website but…","SEOUL, South Korea (AP) North Korea says its leader, Kim Jong Un, sent a letter congratulating Queen Elizabeth II as Britain began a four-day celebration marking her 70 years on the throne.
North Ko… [+1515 chars]"
"US, S. Korea fire missiles to sea, matching North's launches",https://apnews.com/213c15e68a41ff39ee33e522766a7f01,2022-06-06T00:33:34Z,The U.S. and South Korea have launched eight ballistic missiles into the sea in a show of force matching a North Korean display a day earlier that extended a provocative streak in weapons demonstrations. South Korea’s Joint Chiefs of Staff…,"By KIM TONG-HYUNG - Associated Press
SEOUL, South Korea (AP) The U.S. and South Korean militaries launched eight ballistic missiles into the sea Monday in a show of force matching a North Korean mis… [+3779 chars]"
N. Korea criticized as it takes helm of UN disarmament body,https://apnews.com/2cfc7f0c3d104fd8af244d690966a28f,2022-06-02T12:53:55Z,Dozens of mostly Western countries have criticized North Korea's weapons programs as its government takes over the rotating presidency of the U.N.-backed Conference on Disarmament. The countries expressed concerns about North Korea’s nuclear weapons and balli…,GENEVA (AP) Dozens of mostly Western countries criticized North Korean reckless actions in its weapons programs as its government on Thursday took over the rotating presidency of the U.N.-backed Conf… [+2568 chars]
"US, S. Korean navies end key exercise amid N. Korea tension",https://apnews.com/d7eee4f61faeb432e1b1b4722af53605,2022-06-04T12:48:41Z,The U.S. aircraft carrier Ronald Reagan has concluded a naval exercise with South Korea in the Philippine Sea amid signs that North Korea is possibly preparing to conduct its first nuclear test explosion since 2017. The three-day exercise that began…,"By KIM TONG-HYUNG - Associated Press
SEOUL, South Korea (AP) The U.S. aircraft carrier Ronald Reagan concluded a naval exercise with South Korea in the Philippine Sea on Saturday, the two militaries… [+2234 chars]"
N. Korea moves to soften curbs amid doubts over COVID counts,https://apnews.com/222a8eed52084638243435808b300010,2022-05-29T02:52:49Z,North Korean leader Kim Jong Un and other top officials have discussed revising stringent anti-epidemic restrictions as they maintain a widely disputed claim that the country’s first COVID-19 outbreak is slowing. The discussion at the North’s Politburo meetin…,"By HYUNG-JIN KIM - Associated Press
SEOUL, South Korea (AP) North Korean leader Kim Jong Un and other top officials discussed revising stringent anti-epidemic restrictions during a meeting Sunday, s… [+2743 chars]"
"Song Hae, iconic South Korean TV presenter, dies at 95",https://apnews.com/d9c77d4728f87a87d566eaf52bfe0029,2022-06-08T07:58:12Z,"Song Hae, a South Korean TV presenter who was beloved for decades as the warm-humored emcee of a nationally televised singing contest, has died at the age of 95. Born in 1927 in what is now North Korea, Song escaped…","By KIM TONG-HYUNG - Associated Press
SEOUL, South Korea (AP) Song Hae, a South Korean TV presenter who was beloved for decades as the warm-humored emcee of a nationally televised singing contest, ha… [+1916 chars]"
No nukes? Ukraine-Russian war will shape world's arsenals,https://apnews.com/8c6bd3929ee3fe407ea9627168fc6132,2022-06-21T04:12:53Z,Nuclear Russia's pillaging of non-nuclear Ukraine is rattling what's already a destabilizing moment in nuclear nonproliferation efforts. Security experts say the result of Ukraine’s fight against Russia will influence how other countries with nuclear rivals t…,"By ELLEN KNICKMEYER and YONG JUN CHANG - Associated Press
The headlines on the newsstands in Seoul blared fresh warnings of a possible nuclear test by North Korea.
Out on the sidewalks, 28-year-old… [+8435 chars]"
"Most land mine use by US military banned, except for Korea",https://apnews.com/5fd33b609ba1818b7186817dbc76f1e0,2022-06-21T14:02:50Z,"President Joe Biden’s administration says it's restricting the use of anti-personnel land mines by the U.S. military, aligning more closely with an international treaty banning the deadly explosives. Tuesday's announcement reverses a more permissive stance by…","By CHRIS MEGERIAN - Associated Press
WASHINGTON (AP) President Joe Biden's administration announced Tuesday that it would restrict the use of anti-personnel land mines by the U.S. military, aligning… [+1397 chars]"
'Worrying trend': Post-Cold War drop in nukes could be over,https://apnews.com/6bab66c9bab253403cc6a663684ba0ee,2022-06-13T07:29:46Z,"A Swedish arms watchdog says the world’s stockpiles of nuclear weapons are expected to increase in coming years after declining since the end of the Cold War. The Stockholm International Peace Research Institute, or SIPRI, says the decrease in recent…","A Swedish arms watchdog says the worlds stockpiles of nuclear weapons are expected to increase in coming years, reversing a decline seen since the end of the Cold War.
The Stockholm International Pe… [+1525 chars]"
