title,url,date_published,snippet,body,text
Why the oil price is spiking again,https://www.economist.com/finance-and-economics/2022/05/31/why-the-oil-price-is-spiking-again,2022-05-31 20:35:52+00:00,A tightening EU embargo of Russian oil is just one explanation,In the 1970s Arab states used the oil weapon of embargoes to punish Western governments for supporting Israel. On May 30th the heads of the 27 eu member governments agreed to turn the weapon on thems… [+4851 chars],why the oil price is spiking again a tightening eu embargo of russian oil is just one explanation in the 1970s arab states used the oil weapon of embargoes to punish western governments for supporting israel on may 30th the heads of the 27 eu member governments agreed to turn the weapon on thems
Refiners are providing a fresh source of drama for oil markets,https://www.economist.com/finance-and-economics/2022/06/09/refiners-are-providing-a-fresh-source-of-drama-for-oil-markets,2022-06-09 10:31:08+00:00,"The low-key, low-margin industry is printing money","Americas driving season has officially begun. Despite rising inflation and the lingering threat of the pandemic, motorists hit the highways with gusto over the recent Memorial Day long weekend. Some … [+4721 chars]",refiners are providing a fresh source of drama for oil markets the low key low margin industry is printing money americas driving season has officially begun despite rising inflation and the lingering threat of the pandemic motorists hit the highways with gusto over the recent memorial day long weekend some
Could seizing Russian assets help rebuild Ukraine?,https://www.economist.com/finance-and-economics/2022/06/06/could-seizing-russian-assets-help-rebuild-ukraine,2022-06-06 20:27:15+00:00,There are both legal and practical hurdles in the way,"In 2011 viktor vekselberg, a metals tycoon and Kremlin insider, visited the team designing the Tango, a $90m yacht he had ordered, to oversee its construction. His attention to detail proved his undo… [+10429 chars]",could seizing russian assets help rebuild ukraine there are both legal and practical hurdles in the way in 2011 viktor vekselberg a metals tycoon and kremlin insider visited the team designing the tango a 90m yacht he had ordered to oversee its construction his attention to detail proved his undo
Has Russia legalised intellectual-property theft?,https://www.economist.com/business/2022/06/02/has-russia-legalised-intellectual-property-theft,2022-06-02 09:06:33+00:00,A new law seems to strip away the IP rights of Western firms,"As its economy was being bombarded with Western sanctions in early March, Russia decided to amend a section of its civil code. The world took little notice of decree number 299, which authorised the … [+3203 chars]",has russia legalised intellectual property theft a new law seems to strip away the ip rights of western firms as its economy was being bombarded with western sanctions in early march russia decided to amend a section of its civil code the world took little notice of decree number 299 which authorised the
The West has a chance to wean India off Russian weaponry,https://www.economist.com/asia/2022/06/13/the-west-has-a-chance-to-wean-india-off-russian-weaponry,2022-06-13 17:31:24+00:00,"But co-operation on defence with America, in particular, remains fraught","Joint weapons production between India and the West has a long and chequered history. Consider the Tejas fighter jet, whose development was approved in 1983 by Indira Gandhi, the prime minister of th… [+6862 chars]",the west has a chance to wean india off russian weaponry but co operation on defence with america in particular remains fraught joint weapons production between india and the west has a long and chequered history consider the tejas fighter jet whose development was approved in 1983 by indira gandhi the prime minister of th
A plan to revive South Korea’s nuclear-power sector faces obstacles,https://www.economist.com/asia/2022/06/08/a-plan-to-revive-south-koreas-nuclear-power-sector-faces-obstacles,2022-06-08 16:48:29+00:00,But it could help wean the country off fossil fuels,"The south gate of Shin Hanul, a nuclear power station in Uljin on South Koreas east coast, does not get a lot of traffic. At lunchtime on a recent weekday there were no heavy vehicles to be seen, onl… [+3822 chars]",a plan to revive south korea s nuclear power sector faces obstacles but it could help wean the country off fossil fuels the south gate of shin hanul a nuclear power station in uljin on south koreas east coast does not get a lot of traffic at lunchtime on a recent weekday there were no heavy vehicles to be seen onl
Is Turkey more trouble to NATO than it is worth?,https://www.economist.com/europe/2022/06/16/is-turkey-more-trouble-to-nato-than-it-is-worth,2022-06-16 14:07:54+00:00,Recep Tayyip Erdogan’s government is the alliance’s loose cannon,"The received wisdom is that Russias invasion of Ukraine has breathed new life, and a new sense of purpose, urgency and unity into nato. Someone forgot to tell Recep Tayyip Erdogan. Over the past mont… [+6047 chars]",is turkey more trouble to nato than it is worth recep tayyip erdogan s government is the alliance s loose cannon the received wisdom is that russias invasion of ukraine has breathed new life and a new sense of purpose urgency and unity into nato someone forgot to tell recep tayyip erdogan over the past mont
Emmanuel Macron seeks to advertise his support for Ukraine,https://www.economist.com/europe/2022/06/14/emmanuel-macron-seeks-to-advertise-his-support-for-ukraine,2022-06-14 18:12:10+00:00,Confusion lingers about France’s attitude towards Russia’s war,"FRANCES PRESIDENT, Emmanuel Macron, left his electoral worries at home on June 14th when he flew to Romania to start a brief tour of eastern Europe. Just days before the run-off votes in legislative … [+5975 chars]",emmanuel macron seeks to advertise his support for ukraine confusion lingers about france s attitude towards russia s war frances president emmanuel macron left his electoral worries at home on june 14th when he flew to romania to start a brief tour of eastern europe just days before the run off votes in legislative
Europe is squabbling—but remains united where it really matters,https://www.economist.com/europe/2022/06/02/europe-is-squabbling-but-remains-united-where-it-really-matters,2022-06-02 13:21:30+00:00,A new sanctions package belies complaints of internal rifts,"Unity among the nations of Europe is like a French soufflé. First comes the impressive puff, then, inexorably, a graceless sagging as the dish is tested by time and cutlery. Both the diplomat and the… [+6168 chars]",europe is squabbling but remains united where it really matters a new sanctions package belies complaints of internal rifts unity among the nations of europe is like a french souffl first comes the impressive puff then inexorably a graceless sagging as the dish is tested by time and cutlery both the diplomat and the
NATO holds its most important summit in generations,https://www.economist.com/europe/2022/06/26/nato-holds-its-most-important-summit-in-generations,2022-06-26 19:24:55+00:00,The alliance is fortifying its eastern borders. But it is divided over how far to go in Ukraine,"WHEN NATO published its strategic concepta sort of vision statementin 2010, things were looking good. Today the Euro-Atlantic area is at peace and the threat of a conventional attack against NATO ter… [+10725 chars]",nato holds its most important summit in generations the alliance is fortifying its eastern borders but it is divided over how far to go in ukraine when nato published its strategic concepta sort of vision statementin 2010 things were looking good today the euro atlantic area is at peace and the threat of a conventional attack against nato ter
